slug,dataset,role,domain,source,alpha,h_inf,bpc_32768,hurst,n_episodes,mean_turns,mean_doc_bytes,resolved
dcagent3-financeagent-a3rl,DCAgent3/financeagent_terminal_a3_rl_laion_exp_rpt_methods2test_large_v2_20260606_225633,TRAIN,terminal,mid,0.19074546878596832,0.0,1.9442682266235352,,143,41.3,59060,False
opus48-pi-traces,armand0e/claude-opus-4.8-pi-traces,TRAIN,terminal,frontier,0.29942647040266646,1.7299857878454479,2.565460205078125,,4,95.8,68140,
openthoughts-agent-v1-sft,open-thoughts/OpenThoughts-Agent-v1-SFT,TRAIN,terminal,distill,0.13696566995143417,0.0,1.3776617050170898,,656,11.8,12801,False
nl2bash-teacher-glm46,penfever/nl2bash-verified-GLM-4.6-traces-32ep-32k,TRAIN,terminal,frontier,0.13454427080534323,0.0,1.373321533203125,,674,11.2,12451,False
nl2bash-teacher-qwen3coder480b,DCAgent/nl2bash-Qwen3-Coder-480B-traces,TRAIN,terminal,frontier,0.15605946972204063,0.0,1.377030372619629,,674,18.8,12452,False
nl2bash-teacher-minimax-m27,penfever/nl2bash-tasks-cleaned-oracle-minimax-m27-131k-traces,TRAIN,terminal,frontier,0.1521048922420859,0.0,1.5749168395996094,,499,11.1,16829,False
inferredbugs-teacher-glm46,penfever/inferredbugs-GLM-4.6-32ep-65k,TRAIN,swe,frontier,0.22702655339087255,0.0,1.3851556777954102,,236,19.4,35625,True
inferredbugs-teacher-glm46-131k,DCAgent2/inferredbugs-GLM-4.6-32ep-131k-nosumm-traces-chunk002,TRAIN,swe,frontier,0.24457350539416145,0.2232997209437959,1.6217997782939189,,142,22.6,42453,True
inferredbugs-teacher-glm47,DCAgent2/GLM-4.7-inferredbugs-sandboxes-maxeps-131k,TRAIN,swe,frontier,0.22715831377037093,0.0,1.4822444915771484,,142,16.5,59084,False
inferredbugs-teacher-minimax-m27,penfever/inferredbugs-sandboxes-verifier-minimax-m27-131k-traces,TRAIN,swe,frontier,0.2545908624769542,0.16893766942715382,1.4954900741577148,,217,8,38785,True
inferredbugs-teacher-qwen35-122b,penfever/inferredbugs-sandboxes-verifier-qwen3.5-122b-32k-traces,TRAIN,swe,frontier,0.25281989029555635,0.20187945302184818,1.556563377380371,,164,9.7,51245,True
inferredbugs-teacher-kimi25,DCAgent2/Kimi-2.5-inferredbugs-sandboxes-maxeps-32k,TRAIN,swe,frontier,0.25779812955903,0.2787176141614056,1.5506057739257812,,164,18.8,51486,True
inferredbugs-teacher-gpt5nano,mlfoundations-dev/inferredbugs-sandboxes-traces-terminus-2,TRAIN,swe,frontier,0.23222701115262892,0.0,1.5314207077026367,,157,15.4,53452,True
inferredbugs-tasks-clean,ypguo/Clean_Microsoft_InferredBugs,EVAL_TASK,swe,human_task,0.23647458891531836,0.0,0.8427959469193262,,1500,1,3072,False
coderforge-32b-swebench-verified-eval,togethercomputer/CoderForge-Preview-32B-SWE-Bench-Verified-Evaluation-trajectories,EVAL_TRAJ,swe,mid,0.2841811552869114,0.8315627803322722,1.728074073791504,,58,135.6,146877,
terminal-bench2-qwen3-32b,DCAgent3/terminal_bench_2_Qwen3_32B_47000_46_20260609_022622,EVAL_TRAJ,terminal,mid,0.28224510792909174,0.0,0.9733800888061523,,84,171.9,100705,
gaia127-r2egym-32b-eval,DCAgent2/gaia_127_R2EGym_32B_Agent_20260505_060909,EVAL_TRAJ,search,mid,0.1629601022809737,0.0,1.3030939102172852,,25,199.7,353873,
terminal-bench2-gpt5,DCAgent/GPT-5-terminal-bench-2,EVAL_TRAJ,terminal,frontier,0.1938617816332237,0.0,1.7669966264204546,,82,10.4,44046,
terminal-bench2-claude-sonnet45,DCAgent/claude-sonnet-4-5-terminal-bench-2,EVAL_TRAJ,terminal,frontier,0.23072825135356045,0.15657993487132082,1.7465518043154762,,86,27.6,40067,
swebench-verified-claude-sonnet45-eval,livesweagent/claude-sonnet-4-5_swebench_verified_traj,EVAL_TRAJ,swe,frontier,0.1887237835524238,0.0,1.6006040573120117,,64,106.2,131238,
